/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/131_test/dmc_sim_best.conf
[global]
server_groups = 1
client_groups = 1
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 241563 millisecs
==== Client Data ====
     client:       0  total
        t_0: 2471.50 2471.50
        t_1: 2471.00 2471.00
        t_2: 2532.50 2532.50
        t_3: 2531.50 2531.50
        t_4: 2531.50 2531.50
        t_5: 2527.50 2527.50
        t_6: 2409.00 2409.00
        t_7: 2409.00 2409.00
        t_8: 2410.50 2410.50
        t_9: 2400.00 2400.00
       t_10: 2410.50 2410.50
       t_11: 2411.00 2411.00
       t_12: 2202.00 2202.00
       t_13: 2148.50 2148.50
       t_14: 2150.50 2150.50
       t_15: 2150.50 2150.50
       t_16: 2150.50 2150.50
       t_17: 2150.50 2150.50
       t_18: 2151.00 2151.00
       t_19: 2150.00 2150.00
       t_20: 2151.00 2151.00
       t_21: 2339.50 2339.50
       t_22: 2532.00 2532.00
       t_23: 2532.00 2532.00
       t_24: 2533.00 2533.00
       t_25: 2532.00 2532.00
       t_26: 2533.00 2533.00
       t_27: 2526.50 2526.50
       t_28: 2533.50 2533.50
       t_29: 2530.50 2530.50
       t_30: 2532.50 2532.50
       t_31: 2529.50 2529.50
       t_32: 2532.00 2532.00
       t_33: 2531.00 2531.00
       t_34: 2533.00 2533.00
       t_35: 2529.00 2529.00
       t_36: 2526.00 2526.00
       t_37: 2523.00 2523.00
       t_38: 2528.00 2528.00
       t_39: 2530.50 2530.50
       t_40: 2532.50 2532.50
       t_41: 2530.50 2530.50
       t_42: 2533.00 2533.00
       t_43: 2530.50 2530.50
       t_44: 2524.50 2524.50
       t_45: 2523.50 2523.50
       t_46: 2528.50 2528.50
       t_47: 2530.50 2530.50
       t_48: 2530.00 2530.00
       t_49: 2530.50 2530.50
       t_50: 2530.00 2530.00
       t_51: 2530.50 2530.50
       t_52: 2532.00 2532.00
       t_53: 2515.50 2515.50
       t_54: 2532.50 2532.50
       t_55: 2532.00 2532.00
       t_56: 2533.00 2533.00
       t_57: 2533.50 2533.50
       t_58: 2531.50 2531.50
       t_59: 2532.00 2532.00
       t_60: 2533.50 2533.50
       t_61: 2531.50 2531.50
       t_62: 2533.00 2533.00
       t_63: 2533.50 2533.50
       t_64: 2532.00 2532.00
       t_65: 2531.00 2531.00
       t_66: 2532.50 2532.50
       t_67: 2533.50 2533.50
       t_68: 2532.50 2532.50
       t_69: 2532.50 2532.50
       t_70: 2532.00 2532.00
       t_71: 2534.00 2534.00
       t_72: 2529.00 2529.00
       t_73: 2531.50 2531.50
       t_74: 2531.00 2531.00
       t_75: 2533.00 2533.00
       t_76: 2527.50 2527.50
       t_77: 2533.50 2533.50
       t_78: 2533.50 2533.50
       t_79: 2532.00 2532.00
       t_80: 2532.50 2532.50
       t_81: 2531.00 2531.00
       t_82: 2532.00 2532.00
       t_83: 2533.00 2533.00
       t_84: 2533.00 2533.00
       t_85: 2531.00 2531.00
       t_86: 2533.50 2533.50
       t_87: 2529.00 2529.00
       t_88: 2533.00 2533.00
       t_89: 2533.50 2533.50
       t_90: 2532.50 2532.50
       t_91: 2530.50 2530.50
       t_92: 2530.00 2530.00
       t_93: 2530.50 2530.50
       t_94: 2532.50 2532.50
       t_95: 2529.50 2529.50
       t_96: 2532.00 2532.00
       t_97: 2533.50 2533.50
       t_98: 2533.50 2533.50
       t_99: 2533.00 2533.00
      t_100: 2532.50 2532.50
      t_101: 2534.00 2534.00
      t_102: 2533.50 2533.50
      t_103: 2526.50 2526.50
      t_104: 2526.00 2526.00
      t_105: 2511.50 2511.50
      t_106: 2531.00 2531.00
      t_107: 2533.50 2533.50
      t_108: 2532.50 2532.50
      t_109: 2533.50 2533.50
      t_110: 2533.00 2533.00
      t_111: 2524.50 2524.50
      t_112: 2531.50 2531.50
      t_113: 2530.00 2530.00
      t_114: 2530.00 2530.00
      t_115: 2529.50 2529.50
      t_116: 2531.00 2531.00
      t_117: 2533.00 2533.00
      t_118: 2532.50 2532.50
      t_119: 2532.50 2532.50
      t_120:  713.50  713.50
      t_121:    0.00    0.00
    res_ops:       0       0
   prop_ops:  600000  600000
total time to track responses: 724804446 nanoseconds;
    count: 600000;
    average: 1208.01 nanoseconds per request/response
total time to get request parameters: 923873115 nanoseconds;
    count: 600000;
    average: 1539.79 nanoseconds per request/response

client timing for QOS algorithm: 2747.80 nanoseconds per request/response
client 0's 95th latency: 1523, 20016, 21332
client 0's 99th latency: 1698, 35949, 37239
client 0's max latency: 49059, 316664, 318034
client 0's average latency: 1208, 30744573453250, 30744573454458


==== Server Data ====
     server:       0   total
    res_ops:       0       0
   prop_ops:  600000  600000

 k-way heap: 2

total time to add requests: 9765023443 nanoseconds;
    count: 600000;
    average: 16275.04 nanoseconds per request/response
total time to note requests complete: 1217939443 nanoseconds;
    count: 600000;
    average: 2029.90 nanoseconds per request/response

server timing for QOS algorithm: 18304.94 nanoseconds per request/response

Process finished with exit code 0
