/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/131_test/dmc_sim_r_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 1250.0
client_limit = 0.0
client_weight = 0.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 1000000
client_server_select_range = 10
client_iops_goal = 5000
client_outstanding_ops = 100
client_reservation = 2000.0
client_limit = 0.0
client_weight = 0.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 1250.0
client_limit = 0.0
client_weight = 0.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 584336 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 1250.00 2000.50 1250.00 4500.50
        t_1: 1250.00 2000.00 1250.00 4500.00
        t_2: 1250.00 2000.00 1250.50 4500.50
        t_3: 1250.50 2000.00 1250.00 4500.50
        t_4: 1250.00 2000.50 1250.00 4500.50
        t_5: 1250.00 2000.00 1250.50 4500.50
        t_6: 1250.50 2000.00 1250.00 4500.50
        t_7: 1250.00 2000.00 1250.50 4500.50
        t_8: 1250.00 2000.50 1250.00 4500.50
        t_9: 1250.50 2000.00 1250.00 4500.50
       t_10: 1250.00 2000.00 1250.50 4500.50
       t_11: 1250.00 2000.50 1250.00 4500.50
       t_12: 1250.50 2000.00 1250.00 4500.50
       t_13: 1250.00 2000.00 1250.50 4500.50
       t_14: 1250.50 2000.00 1250.00 4500.50
       t_15: 1250.00 2000.50 1250.00 4500.50
       t_16: 1250.00 2000.00 1250.50 4500.50
       t_17: 1250.50 2000.00 1250.00 4500.50
       t_18: 1250.00 2000.50 1250.00 4500.50
       t_19: 1250.00 2000.00 1250.50 4500.50
       t_20: 1250.50 2000.00 1250.00 4500.50
       t_21: 1250.00 2000.50 1250.00 4500.50
       t_22: 1250.00 2000.00 1250.50 4500.50
       t_23: 1246.50 2000.00 1250.00 4496.50
       t_24:    0.00 2000.50 1250.00 3250.50
       t_25:    0.00 2000.00 1250.00 3250.00
       t_26:    0.00 2000.00 1250.50 3250.50
       t_27:    0.00 2000.00 1250.00 3250.00
       t_28:    0.00 2000.50 1250.00 3250.50
       t_29:  254.00 1999.50 1250.50 3504.00
       t_30: 1250.00 2000.50 1250.00 4500.50
       t_31: 1250.50 2000.00 1250.00 4500.50
       t_32: 1250.00 2000.00 1250.50 4500.50
       t_33: 1250.00 2000.50 1250.00 4500.50
       t_34: 1250.50 2000.00 1250.00 4500.50
       t_35: 1250.00 2000.00 1250.50 4500.50
       t_36: 1250.00 2000.50 1250.00 4500.50
       t_37: 1250.50 2000.00 1250.00 4500.50
       t_38: 1250.00 2000.00 1250.50 4500.50
       t_39: 1250.00 2000.50 1250.00 4500.50
       t_40: 1250.50 2000.00 1250.00 4500.50
       t_41: 1250.00 2000.00 1250.50 4500.50
       t_42: 1250.00 2000.50 1250.00 4500.50
       t_43: 1250.50 2000.00 1250.00 4500.50
       t_44: 1250.00 2000.00 1250.50 4500.50
       t_45: 1250.00 2000.00 1250.00 4500.00
       t_46: 1250.50 2000.50 1250.00 4501.00
       t_47: 1250.00 2000.00 1250.00 4500.00
       t_48: 1250.00 2000.00 1250.50 4500.50
       t_49: 1250.00 2000.50 1250.00 4500.50
       t_50: 1250.50 2000.00 1250.00 4500.50
       t_51: 1250.00 2000.00 1250.50 4500.50
       t_52: 1250.00 2000.50 1249.50 4500.00
       t_53:  992.50 2000.00 1250.00 4242.50
       t_54:    0.00 2000.00 1250.50 3250.50
       t_55:    0.00 2000.50 1250.00 3250.50
       t_56:    0.00 2000.00 1250.00 3250.00
       t_57:    0.00 2000.00 1250.50 3250.50
       t_58:    0.00 2000.00 1250.00 3250.00
       t_59:  508.00 2000.50 1250.00 3758.50
       t_60: 1250.00 2000.00 1250.50 4500.50
       t_61: 1250.50 2000.00 1250.00 4500.50
       t_62: 1250.00 2000.50 1250.00 4500.50
       t_63: 1250.00 2000.00 1250.50 4500.50
       t_64: 1250.00 2000.00 1250.00 4500.00
       t_65: 1250.50 2000.50 1250.00 4501.00
       t_66: 1250.00 2000.00 1250.00 4500.00
       t_67: 1250.00 2000.00 1250.50 4500.50
       t_68: 1250.50 2000.00 1250.00 4500.50
       t_69: 1250.00 2000.00 1250.50 4500.50
       t_70: 1250.00 2000.50 1250.00 4500.50
       t_71: 1250.50 2000.00 1250.00 4500.50
       t_72: 1250.00 2000.00 1250.50 4500.50
       t_73: 1250.50 2000.00 1250.00 4500.50
       t_74: 1250.00 2000.50 1250.00 4500.50
       t_75: 1250.00 2000.00 1250.50 4500.50
       t_76: 1250.50 2000.00 1250.00 4500.50
       t_77: 1250.00 2000.50 1250.00 4500.50
       t_78: 1250.00 2000.00 1250.50 4500.50
       t_79: 1250.50 2000.00 1250.00 4500.50
       t_80: 1250.00 2000.50 1250.00 4500.50
       t_81: 1250.00 2000.00 1250.00 4500.00
       t_82: 1250.50 2000.00 1250.50 4501.00
       t_83:  738.00 2000.50 1250.00 3988.50
