/tmp/tmp.NzemDORxBq/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NzemDORxBq/sim/631_test-03/dmc_sim_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000
system_capacity = 5000.000
mclock_win_size = 20.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 5000.0
client_weight = 6.0
client_type = 1

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 3.0
client_type = 0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0
client_type = 2

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 395061 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 3828.50 1200.50    0.00 5029.00
        t_1: 3865.00 1200.00    0.00 5065.00
        t_2: 3881.00 1200.00    0.00 5081.00
        t_3: 3859.00 1200.50    0.00 5059.50
        t_4: 3846.50 1200.00    0.00 5046.50
        t_5: 3853.50 1200.00    0.00 5053.50
        t_6: 3857.50 1200.00    0.00 5057.50
        t_7: 3008.50 1377.50  509.50 4895.50
        t_8:    0.00 1790.00 2480.50 4270.50
        t_9:    0.00 1787.50 2496.00 4283.50
       t_10:    0.00 1779.00 2554.50 4333.50
       t_11:    0.00 1779.00 2557.00 4336.00
       t_12:    0.00 1780.00 2555.50 4335.50
       t_13: 1103.00 1612.00 1823.00 4538.00
       t_14: 3863.50 1200.50    0.00 5064.00
       t_15: 3859.50 1200.00    0.00 5059.50
       t_16: 3867.00 1200.00    0.00 5067.00
       t_17: 3869.00 1200.00    0.00 5069.00
       t_18: 3865.50 1200.00    0.00 5065.50
       t_19: 3873.00 1200.00    0.00 5073.00
       t_20: 3874.00 1200.50    0.00 5074.50
       t_21: 1825.50 1556.50 1239.50 4621.50
       t_22:    0.00 1789.00 2414.00 4203.00
       t_23:    0.00 1787.50 2415.50 4203.00
       t_24:    0.00 1783.00 2419.00 4202.00
       t_25:    0.00 1782.50 2416.50 4199.00
       t_26:    0.00 1782.00 2422.00 4204.00
       t_27: 2265.00 1435.00  987.50 4687.50
       t_28: 3871.50 1200.00    0.00 5071.50
       t_29: 3855.50 1200.50    0.00 5056.00
       t_30: 3857.00 1200.00    0.00 5057.00
       t_31: 3845.50 1200.00    0.00 5045.50
       t_32: 3875.50 1200.00    0.00 5075.50
       t_33: 3857.00 1200.00    0.00 5057.00
       t_34: 3858.50 1200.00    0.00 5058.50
       t_35:  714.50 1720.00 1802.00 4236.50
       t_36:    0.00 1778.00 2167.50 3945.50
       t_37:    0.00 1778.50 2168.50 3947.00
       t_38:    0.00 1777.50 2167.50 3945.00
       t_39:    0.00 1777.00 2165.00 3942.00
       t_40:    0.00 1778.50 2162.00 3940.50
       t_41: 3388.50 1269.50  261.00 4919.00
       t_42: 3846.00 1200.00    0.00 5046.00
       t_43: 3857.50 1200.00    0.00 5057.50
       t_44: 3871.50 1200.00    0.00 5071.50
       t_45: 3856.50 1200.00    0.00 5056.50
       t_46: 3862.50 1200.50    0.00 5063.00
       t_47: 3867.50 1200.00    0.00 5067.50
       t_48: 3450.00 1309.50  188.50 4948.00
       t_49:    0.00 1777.50 2164.00 3941.50
       t_50:    0.00 1778.00 2169.50 3947.50
       t_51:    0.00 1778.00 2168.50 3946.50
       t_52:    0.00 1778.00 2353.00 4131.00
       t_53:    0.00 1778.00 2556.00 4334.00
       t_54:  652.50 1680.00 2123.50 4456.00
       t_55: 3860.50 1200.00    0.00 5060.50
       t_56: 3857.50 1200.00    0.00 5057.50
       t_57: 3865.50 1200.00    0.00 5065.50
       t_58: 3843.50 1200.00    0.00 5043.50
       t_59: 3869.50 1200.50    0.00 5070.00
       t_60: 3855.50 1200.00    0.00 5055.50
       t_61: 3800.50 1200.00    0.00 5000.50
       t_62: 2395.00 1464.50  908.50 4768.00
       t_63:    0.00 1778.00 2556.00 4334.00
       t_64:    0.00 1778.00 2556.00 4334.00
       t_65:    0.00 1776.00 2555.50 4331.50
       t_66:    0.00 1778.00 2547.00 4325.00
       t_67:    0.00 1778.00 2554.00 4332.00
       t_68: 1713.50 1523.00 1431.00 4667.50
       t_69: 3897.50 1200.00    0.00 5097.50
       t_70: 3882.50 1200.50    0.00 5083.00
       t_71: 3878.00 1200.00    0.00 5078.00
       t_72: 3870.50 1200.00    0.00 5070.50
       t_73: 3853.00 1200.00    0.00 5053.00
       t_74: 3853.50 1200.00    0.00 5053.50
       t_75: 3895.00 1200.50    0.00 5095.50
       t_76: 1156.50 1655.00 1748.50 4560.00
       t_77:    0.00 1778.00 2556.00 4334.00
       t_78:    0.00 1777.50 2555.50 4333.00
       t_79:    0.00 1778.00 2556.00 4334.00
       t_80:    0.00 1779.00 2556.50 4335.50
       t_81:    0.00 1778.00 2555.00 4333.00
       t_82: 2976.50 1334.50  596.50 4907.50
       t_83: 3886.50 1200.00    0.00 5086.50
       t_84: 3882.00 1200.00    0.00 5082.00
