[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 1250.0
client_limit = 3000.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 1000000
client_server_select_range = 10
client_iops_goal = 5000
client_outstanding_ops = 100
client_reservation = 2000.0
client_limit = 2500.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 5000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 1250.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started

simulation completed in 479957 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 1805.50 2000.50 1249.50 5055.50
        t_1: 1809.00 2000.00 1250.50 5059.50
        t_2: 1794.00 2000.50 1250.00 5044.50
        t_3: 1795.50 2000.00 1250.00 5045.50
        t_4: 1802.00 2000.00 1250.00 5052.00
        t_5: 1806.00 2000.50 1250.50 5057.00
        t_6: 1819.50 2000.00 1250.00 5069.50
        t_7: 1813.50 2000.00 1250.50 5064.00
        t_8: 1826.50 2000.00 1250.50 5077.00
        t_9: 1829.00 2000.00 1250.00 5079.00
       t_10: 1816.50 2000.50 1250.00 5067.00
       t_11: 1779.50 2000.00 1250.50 5030.00
       t_12: 1767.00 2000.00 1249.50 5016.50
       t_13: 1811.00 2000.50 1250.50 5062.00
       t_14: 1789.50 2000.00 1250.00 5039.50
       t_15: 1784.00 2000.00 1250.00 5034.00
       t_16: 1151.50 2226.50 1251.00 4629.00
       t_17:    0.00 2500.00 1250.00 3750.00
       t_18:    0.00 2499.00 1249.00 3748.00
       t_19:    0.00 2500.00 1250.00 3750.00
       t_20:    0.00 2499.00 1250.50 3749.50
       t_21:    0.00 2500.00 1250.00 3750.00
       t_22:  628.50 2499.00 1249.50 4377.00
       t_23: 1302.50 2500.00 1250.00 5052.50
       t_24: 1295.00 2499.00 1250.50 5044.50
       t_25: 1311.50 2499.50 1250.50 5061.50
       t_26: 1306.00 2500.00 1249.50 5055.50
       t_27: 1317.00 2499.50 1250.50 5067.00
       t_28: 1325.00 2499.50 1250.00 5074.50
       t_29: 1294.50 2500.00 1250.00 5044.50
       t_30: 1328.50 2496.50 1250.50 5075.50
       t_31: 1811.00 2000.00 1250.00 5061.00
       t_32: 1808.00 2000.00 1250.50 5058.50
       t_33: 1787.50 2000.50 1250.00 5038.00
       t_34: 1805.00 2000.00 1250.00 5055.00
       t_35: 1815.50 2000.00 1250.50 5066.00
       t_36: 1797.50 2000.00 1250.00 5047.50
       t_37: 1773.50 2000.00 1250.50 5024.00
       t_38: 1785.00 2000.50 1250.00 5035.50
       t_39: 1792.00 2000.00 1250.50 5042.50
       t_40: 1820.00 2000.00 1249.50 5069.50
       t_41:  896.50 2299.00 1250.50 4446.00
       t_42:    0.00 2499.50 1250.50 3750.00
       t_43:    0.00 2499.50 1250.00 3749.50
       t_44:    0.00 2499.50 1250.50 3750.00
       t_45:    0.00 2500.00 1250.00 3750.00
       t_46:    0.00 2499.50 1250.00 3749.50
       t_47:  811.00 2498.50 1250.00 4559.50
       t_48: 1252.50 2496.50 1250.00 4999.00
       t_49: 1320.50 2503.00 1250.50 5074.00
       t_50: 1327.50 2499.50 1250.00 5077.00
       t_51: 1305.50 2499.50 1250.00 5055.00
       t_52: 1317.00 2499.50 1249.00 5065.50
       t_53: 1316.00 2500.00 1250.00 5066.00
       t_54: 1334.50 2499.00 1250.50 5084.00
       t_55: 1319.50 2500.00 1250.00 5069.50
       t_56: 1320.00 2499.50 1250.00 5069.50
       t_57: 1311.00 2499.50 1250.50 5061.00
       t_58: 1333.00 2499.50 1250.00 5082.50
       t_59: 1632.00 2174.50 1250.00 5056.50
       t_60: 1836.00 2000.50 1250.50 5087.00
       t_61: 1842.00 2000.00 1250.00 5092.00
       t_62: 1841.00 2000.00 1250.00 5091.00
       t_63: 1764.00 2000.00 1249.50 5013.50
       t_64: 1815.00 2000.00 1250.00 5065.00
       t_65: 1802.50 2000.50 1250.00 5053.00
       t_66: 1827.50 2000.00 1250.50 5078.00
       t_67:  372.00 2439.00 1250.50 4061.50
       t_68:    0.00 2500.00 1250.00 3750.00
       t_69:    0.00 2499.50 1250.00 3749.50
       t_70:    0.00 2499.50 1250.50 3750.00
       t_71:    0.00 2499.50 1250.00 3749.50
       t_72:    0.00 2500.00 1250.00 3750.00
       t_73: 1243.00 2498.50 1249.50 4991.00
       t_74: 1353.50 2500.00 1250.50 5104.00
       t_75: 1351.00 2499.00 1250.50 5100.50
       t_76: 1348.50 2500.00 1250.00 5098.50
       t_77: 1357.00 2499.50 1250.00 5106.50
       t_78: 1353.50 2499.50 1250.50 5103.50
       t_79: 1340.50 2499.50 1250.00 5090.00
       t_80: 1352.50 2499.50 1250.00 5102.00
       t_81: 1349.50 2499.50 1250.50 5099.50
       t_82: 1277.00 2500.00 1250.00 5027.00
       t_83: 1310.50 2499.50 1250.00 5060.00
       t_84: 1341.00 2499.50 1250.50 5091.00
       t_85: 1318.00 2499.50 1250.00 5067.50
       t_86: 1411.00 2395.50 1250.00 5056.50
       t_87: 1843.50 2000.00 1250.50 5094.00
