/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/631_test/dmc_sim_r_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 3000.0
client_limit = 0.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 400000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 294232 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 3000.00 1200.00  868.50 5068.50
        t_1: 3000.50 1200.50  888.00 5089.00
        t_2: 3000.50 1200.00  897.50 5098.00
        t_3: 3000.00 1200.00  896.00 5096.00
        t_4: 3000.50 1200.00  888.50 5089.00
        t_5: 3000.00 1200.00  887.00 5087.00
        t_6: 3000.50 1200.00  868.50 5069.00
        t_7: 3000.00 1200.00  845.00 5045.00
        t_8: 3000.00 1200.00  870.00 5070.00
        t_9: 2998.00 1200.50  865.50 5064.00
       t_10:    0.00 1829.00 2555.00 4384.00
       t_11:    0.00 1777.50 2554.00 4331.50
       t_12:    0.00 1777.50 2479.00 4256.50
       t_13:    0.00 1778.50 2420.00 4198.50
       t_14:    0.00 1778.00 2425.00 4203.00
       t_15:  251.50 1782.00 2238.50 4272.00
       t_16: 3000.00 1471.50  577.50 5049.00
       t_17: 3000.50 1200.00  880.50 5081.00
       t_18: 3000.50 1200.00  895.50 5096.00
       t_19: 3000.00 1200.00  899.00 5099.00
       t_20: 3000.50 1200.00  900.00 5100.50
       t_21: 3000.00 1200.00  902.50 5102.50
       t_22: 3000.00 1200.50  863.00 5063.50
       t_23: 3000.50 1200.00  901.50 5102.00
       t_24: 3000.00 1200.00  883.00 5083.00
       t_25: 2746.50 1299.00  975.00 5020.50
       t_26:    0.00 1779.50 2162.00 3941.50
       t_27:    0.00 1780.00 2164.00 3944.00
       t_28:    0.00 1778.00 2165.50 3943.50
       t_29:    0.00 1777.50 2163.50 3941.00
       t_30:    0.00 1778.00 2167.50 3945.50
       t_31:  503.00 1682.50 1943.00 4128.50
       t_32: 3000.00 1200.00  852.00 5052.00
       t_33: 3000.00 1200.50  839.50 5040.00
       t_34: 3000.50 1200.00  868.50 5069.00
       t_35: 3000.00 1200.00  882.50 5082.50
       t_36: 3000.50 1200.00  891.00 5091.50
       t_37: 3000.50 1200.00  898.50 5099.00
       t_38: 3000.00 1200.00  898.50 5098.50
       t_39: 3000.00 1200.50  891.00 5091.50
       t_40: 3000.50 1200.00  878.50 5079.00
       t_41: 2495.00 1348.00 1167.00 5010.00
       t_42:    0.00 1777.50 2555.50 4333.00
       t_43:    0.00 1777.50 2555.00 4332.50
       t_44:    0.00 1778.00 2558.00 4336.00
       t_45:    0.00 1777.50 2555.00 4332.50
       t_46:    0.00 1774.00 2545.00 4319.00
       t_47:  754.50 1778.50 1981.00 4514.00
       t_48: 3000.00 1283.50  784.00 5067.50
       t_49: 3001.00 1200.00  872.00 5073.00
       t_50: 3000.00 1200.00  873.00 5073.00
       t_51: 3000.00 1200.50  866.00 5066.50
       t_52: 3000.50 1200.00  903.50 5104.00
       t_53: 3000.00 1200.00  890.50 5090.50
       t_54: 3000.50 1200.00  886.50 5087.00
       t_55: 3000.00 1200.00  900.00 5100.00
       t_56: 3000.00 1200.50  900.50 5101.00
       t_57: 2243.50 1396.50 1300.00 4940.00
       t_58:    0.00 1778.00 2556.00 4334.00
       t_59:    0.00 1778.00 2555.50 4333.50
       t_60:    0.00 1778.00 2555.00 4333.00
       t_61:    0.00 1777.50 2556.00 4333.50
       t_62:    0.00 1778.00 2556.50 4334.50
       t_63: 1006.00 1778.50 1784.00 4568.50
       t_64: 3000.50 1579.00  446.50 5026.00
       t_65: 3000.00 1200.00  885.00 5085.00
       t_66: 3000.50 1200.00  874.00 5074.50
       t_67: 3000.00 1200.50  887.00 5087.50
       t_68: 3000.50 1200.00  899.00 5099.50
       t_69: 3000.00 1200.00  882.00 5082.00
       t_70: 3000.00 1200.00  864.00 5064.00
       t_71: 3000.50 1200.00  883.00 5083.50
       t_72: 3000.50 1200.00  861.50 5062.00
       t_73: 1991.50 1445.00 1441.50 4878.00
       t_74:    0.00 1778.00 2555.50 4333.50
       t_75:    0.00 1777.50 2556.00 4333.50
       t_76:    0.00 1778.00 2556.50 4334.50
       t_77:    0.00 1778.00 2558.00 4336.00
       t_78:    0.00 1778.50 2557.00 4335.50
       t_79: 1257.50 1780.00 1589.50 4627.00
       t_80: 3000.50 1580.50  453.00 5034.00
       t_81: 3000.50 1200.00  875.00 5075.50
       t_82: 3000.00 1200.00  892.50 5092.50
       t_83: 3000.00 1200.00  876.50 5076.50
       t_84: 3000.50 1200.00  877.00 5077.50
       t_85: 3000.50 1200.50  878.00 5079.00
       t_86: 3000.00 1200.00  875.00 5075.00
