/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/631_test/dmc_sim_rwl3_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 5000.0
client_weight = 6.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 3.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 500.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 600027 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 2999.00 1500.00  500.00 4999.00
        t_1: 3014.00 1506.50  500.00 5020.50
        t_2: 3018.50 1509.50  500.00 5028.00
        t_3: 3016.50 1508.00  500.00 5024.50
        t_4: 3016.00 1508.50  500.00 5024.50
        t_5: 3010.00 1505.00  500.00 5015.00
        t_6: 3002.00 1501.00  500.00 5003.00
        t_7: 3002.50 1501.50  500.00 5004.00
        t_8: 3009.50 1504.50  500.00 5014.00
        t_9: 2912.00 1564.50  500.00 4976.50
       t_10:    0.00 1774.00  500.00 2274.00
       t_11:    0.00 1779.00  500.00 2279.00
       t_12:    0.00 1780.00  500.00 2280.00
       t_13:    0.00 1778.50  500.00 2278.50
       t_14:    0.00 1777.50  500.00 2277.50
       t_15:    0.00 1777.00  499.50 2276.50
       t_16:    0.00 1778.00  500.00 2278.00
       t_17: 1681.00 1779.00  500.00 3960.00
       t_18: 2694.50 1781.50  500.00 4976.00
       t_19: 2712.00 1780.00  500.00 4992.00
       t_20: 2691.00 1782.00  500.00 4973.00
       t_21: 2701.50 1780.50  500.00 4982.00
       t_22: 2708.00 1780.50  500.00 4988.50
       t_23: 2710.00 1780.00  500.00 4990.00
       t_24: 2707.00 1777.00  500.00 4984.00
       t_25: 2707.50 1780.50  500.00 4988.00
       t_26: 2707.00 1781.00  500.00 4988.00
       t_27: 2709.00 1781.50  500.00 4990.50
       t_28: 1271.50 1781.50  500.00 3553.00
       t_29:    0.00 1779.00  500.00 2279.00
       t_30:    0.00 1778.00  500.00 2278.00
       t_31:    0.00 1779.00  500.00 2279.00
       t_32:    0.00 1777.00  500.00 2277.00
       t_33:    0.00 1779.00  500.00 2279.00
       t_34:    0.00 1776.50  500.00 2276.50
       t_35:  342.00 1777.00  499.50 2618.50
       t_36: 2709.50 1778.50  500.00 4988.00
       t_37: 2703.00 1778.50  500.00 4981.50
       t_38: 2718.00 1775.50  500.00 4993.50
       t_39: 2706.50 1780.00  500.00 4986.50
       t_40: 2711.00 1779.00  500.00 4990.00
       t_41: 2696.00 1779.50  500.00 4975.50
       t_42: 2703.50 1780.00  500.00 4983.50
       t_43: 2677.50 1780.50  500.00 4958.00
       t_44: 2696.50 1777.00  500.00 4973.50
       t_45: 2716.50 1774.50  500.00 4991.00
       t_46: 2620.00 1782.50  500.00 4902.50
       t_47:    0.00 1777.50  500.00 2277.50
       t_48:    0.00 1777.00  500.00 2277.00
       t_49:    0.00 1778.00  500.00 2278.00
       t_50:    0.00 1779.00  500.00 2279.00
       t_51:    0.00 1778.00  500.00 2278.00
       t_52:    0.00 1779.00  500.00 2279.00
       t_53:    0.00 1778.00  500.00 2278.00
       t_54: 1705.50 1777.50  499.50 3982.50
       t_55: 2697.00 1782.00  500.00 4979.00
       t_56: 2711.50 1782.00  500.00 4993.50
       t_57: 2708.00 1778.00  500.00 4986.00
       t_58: 2717.00 1777.50  500.00 4994.50
       t_59: 2709.50 1781.00  500.00 4990.50
       t_60: 2694.50 1779.50  500.00 4974.00
       t_61: 2704.50 1781.50  500.00 4986.00
       t_62: 2699.00 1781.00  500.00 4980.00
       t_63: 2703.00 1780.00  500.00 4983.00
       t_64: 2698.50 1781.00  500.00 4979.50
       t_65: 1252.00 1780.50  500.00 3532.50
       t_66:    0.00 1777.00  500.00 2277.00
       t_67:    0.00 1777.50  500.00 2277.50
       t_68:    0.00 1778.00  500.00 2278.00
       t_69:    0.00 1778.50  500.00 2278.50
       t_70:    0.00 1777.00  500.00 2277.00
       t_71:    0.00 1774.50  500.00 2274.50
       t_72:  366.00 1773.00  500.00 2639.00
       t_73: 2722.00 1774.00  500.00 4996.00
       t_74: 2701.00 1775.50  500.00 4976.50
       t_75: 2718.50 1773.50  500.00 4992.00
       t_76: 2692.00 1781.00  500.00 4973.00
       t_77: 2701.50 1780.00  499.50 4981.00
       t_78: 2706.00 1782.00  500.00 4988.00
       t_79: 2703.50 1778.00  500.00 4981.50
       t_80: 2706.00 1781.00  500.00 4987.00
       t_81: 2708.50 1781.50  500.00 4990.00
       t_82: 2712.50 1783.50  500.00 4996.00
       t_83: 2562.50 1784.50  500.00 4847.00
       t_84:    0.00 1780.00  500.00 2280.00
       t_85:    0.00 1473.00  500.00 1973.00
       t_86:    0.00    0.00  500.00  500.00
       t_87:    0.00    0.00  500.00  500.00
       t_88:    0.00    0.00  500.00  500.00
