[root@k8s-workder136 dmclock]# ./build/sim/dmc_sim -c sim/631_test/dmc_sim_wl_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 3000.0
client_weight = 6.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 400000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 0.0
client_limit = 1500.0
client_weight = 3.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 500.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 308000 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 3005.50 1502.50  501.00 5009.00
        t_1: 3004.00 1502.00  500.50 5006.50
        t_2: 3024.00 1512.00  504.00 5040.00
        t_3: 3014.50 1507.50  502.50 5024.50
        t_4: 3010.00 1505.00  502.00 5017.00
        t_5: 3019.50 1509.50  503.00 5032.00
        t_6: 3031.00 1516.00  505.50 5052.50
        t_7: 3014.50 1507.00  502.00 5023.50
        t_8: 3015.50 1508.00  503.00 5026.50
        t_9: 2861.50 1561.00  557.00 4979.50
       t_10:    0.00 1784.50 2573.50 4358.00
       t_11:    0.00 1779.50 2560.50 4340.00
       t_12:    0.00 1779.00 2556.00 4335.00
       t_13:    0.00 1778.00 2539.50 4317.50
       t_14:    0.00 1783.00 2418.50 4201.50
       t_15:    0.00 1786.50 2419.00 4205.50
       t_16:    0.00 1788.00 2418.00 4206.00
       t_17: 2040.00 1782.00  893.50 4715.50
       t_18: 3224.00 1776.00    0.00 5000.00
       t_19: 3224.50 1775.50    0.00 5000.00
       t_20: 3179.00 1776.00    0.00 4955.00
       t_21: 3223.00 1777.50    0.00 5000.50
       t_22: 3224.00 1776.00    0.00 5000.00
       t_23: 3223.50 1776.50    0.00 5000.00
       t_24: 3223.50 1776.00    0.00 4999.50
       t_25: 3220.00 1777.00    0.00 4997.00
       t_26: 2218.50 1784.50  746.00 4749.00
       t_27:    0.00 1784.50 2417.50 4202.00
       t_28:    0.00 1797.50 2411.00 4208.50
       t_29:    0.00 1785.50 2266.00 4051.50
       t_30:    0.00 1778.00 2162.00 3940.00
       t_31:    0.00 1778.50 2164.00 3942.50
       t_32:    0.00 1779.50 2167.50 3947.00
       t_33:    0.00 1777.50 2168.50 3946.00
       t_34: 2873.50 1777.50  241.50 4892.50
       t_35: 3219.50 1776.50    0.00 4996.00
       t_36: 3222.00 1778.00    0.00 5000.00
       t_37: 3225.00 1775.00    0.00 5000.00
       t_38: 3224.00 1772.50    0.00 4996.50
       t_39: 3223.00 1777.00    0.00 5000.00
       t_40: 3211.00 1777.50    0.00 4988.50
       t_41: 3222.00 1777.00    0.00 4999.00
       t_42: 3222.50 1777.50    0.00 5000.00
       t_43: 1357.50 1779.50 1253.00 4390.00
       t_44:    0.00 1778.50 2165.00 3943.50
       t_45:    0.00 1777.50 2163.50 3941.00
       t_46:    0.00 1778.50 2165.00 3943.50
       t_47:    0.00 1777.50 2187.00 3964.50
       t_48:    0.00 1779.00 2556.50 4335.50
       t_49:    0.00 1778.00 2557.50 4335.50
       t_50:  513.00 1778.50 2161.00 4452.50
       t_51: 3212.50 1772.50    0.00 4985.00
       t_52: 3200.00 1777.50    0.00 4977.50
       t_53: 3221.50 1778.00    0.00 4999.50
       t_54: 3222.50 1777.50    0.00 5000.00
       t_55: 3222.00 1777.50    0.00 4999.50
       t_56: 3223.50 1776.50    0.00 5000.00
       t_57: 3228.00 1777.50    0.00 5005.50
       t_58: 3238.50 1778.00    0.00 5016.50
       t_59: 3226.00 1777.50    0.00 5003.50
       t_60:  492.50 1780.00 2163.00 4435.50
       t_61:    0.00 1777.50 2555.00 4332.50
       t_62:    0.00 1778.00 2554.00 4332.00
       t_63:    0.00 1777.50 2554.00 4331.50
       t_64:    0.00 1778.00 2557.50 4335.50
       t_65:    0.00 1779.50 2557.50 4337.00
       t_66:    0.00 1777.50 2558.50 4336.00
       t_67: 1373.00 1776.50 1472.00 4621.50
       t_68: 3217.00 1777.50    0.00 4994.50
       t_69: 3216.00 1777.50    0.00 4993.50
       t_70: 3215.50 1777.00    0.00 4992.50
       t_71: 3224.00 1776.50    0.00 5000.50
       t_72: 3220.50 1777.50    0.00 4998.00
       t_73: 3223.50 1777.00    0.00 5000.50
       t_74: 3224.00 1776.50    0.00 5000.50
       t_75: 3232.00 1766.50    0.00 4998.50
       t_76: 2854.50 1782.50  281.50 4918.50
       t_77:    0.00 1778.00 2555.50 4333.50
       t_78:    0.00 1778.50 2554.50 4333.00
       t_79:    0.00 1778.00 2555.50 4333.50
       t_80:    0.00 1777.50 2559.50 4337.00
       t_81:    0.00 1777.50 2561.50 4339.00
       t_82:    0.00 1777.50 2556.00 4333.50
       t_83:    0.00 1777.00 2557.50 4334.50
       t_84: 2234.00 1778.00  790.00 4802.00
       t_85: 3222.00 1777.50    0.00 4999.50
       t_86: 3223.50 1776.00    0.00 4999.50
       t_87: 3220.50 1778.00    0.00 4998.50
       t_88: 3220.50 1776.50    0.00 4997.00
       t_89: 3222.00 1777.00    0.00 4999.00
       t_90: 3220.00 1778.00    0.00 4998.00
       t_91: 3224.00 1776.50    0.00 5000.50
       t_92: 3217.50 1777.00    0.00 4994.50
       t_93: 1996.00 1782.00  964.00 4742.00
       t_94:    0.00 1777.50 2556.00 4333.50
       t_95:    0.00 1778.00 2556.50 4334.50
       t_96:    0.00 1778.00 2556.00 4334.00
       t_97:    0.00 1777.50 2556.00 4333.50
       t_98:    0.00 1778.50 2552.50 4331.00
       t_99:    0.00 1779.00 2552.50 4331.50
      t_100:    0.00 1776.00 2558.50 4334.50
      t_101: 3098.50 1776.00  108.00 4982.50
      t_102: 3222.00 1777.50    0.00 4999.50
      t_103: 3227.50 1773.00    0.00 5000.50
      t_104: 3218.00 1770.00    0.00 4988.00
      t_105: 3226.00 1772.00    0.00 4998.00
      t_106: 3218.50 1770.50    0.00 4989.00
      t_107: 3220.00 1774.00    0.00 4994.00
      t_108: 3216.50 1777.50    0.00 4994.00
      t_109: 3213.50 1777.50    0.00 4991.00
      t_110: 1139.50 1782.50 1641.50 4563.50
      t_111:    0.00 1777.50 2558.50 4336.00
      t_112:    0.00 1777.00 2565.50 4342.50
      t_113:    0.00 1742.00 2562.50 4304.50
      t_114:    0.00    0.00 2533.50 2533.50
      t_115:    0.00    0.00 2534.00 2534.00
      t_116:    0.00    0.00 2523.00 2523.00
      t_117:  669.00    0.00 2429.50 3098.50
      t_118: 3000.00    0.00 2088.50 5088.50
      t_119: 3000.50    0.00 2074.00 5074.50
      t_120: 3000.00    0.00 2097.00 5097.00
      t_121: 3000.00    0.00 2081.50 5081.50
      t_122: 3000.50    0.00 2089.00 5089.50
      t_123: 3000.00    0.00 2079.00 5079.00
      t_124: 3000.50    0.00 2103.50 5104.00
      t_125: 3384.00    0.00 1725.00 5109.00
      t_126: 4945.50    0.00    0.00 4945.50
      t_127:    0.00    0.00    0.00    0.00
